SalesChannel,WarehouseCode,OrderDate,ShipDate,DeliveryDate,SalesRegion,CustomerName,StoreLocation,ProductName,OrderQuantity,DiscountApplied,UnitPrice,UnitCost
Distributor,WARE-MKL1006,2018-09-12,2018-09-14,2018-09-18,Midwest,Ole Group,Virginia,Pillows,5,0.15,268,160.8
Distributor,WARE-NBV1002,2018-09-13,2018-09-20,2018-09-25,Midwest,Uriel Group,California,Vases,8,0.075,3852.5,2157.4
Online,WARE-NMK1003,2018-09-13,2018-10-03,2018-10-12,South,Qualitest ,Illinois,Wine Storage,7,0.2,1876,900.48
In-Store,WARE-NMK1003,2018-09-13,2018-10-03,2018-10-09,West,Wuxi Group,Florida,Clocks,5,0.15,1286.4,887.616
Online,WARE-NMK1003,2018-09-13,2018-09-22,2018-10-02,Midwest,U.S. Ltd,Florida,Bean Bags,6,0.2,174.2,101.036
Distributor,WARE-MKL1006,2018-09-13,2018-09-24,2018-09-30,Northeast,Dharma Ltd,Washington,Candles,6,0.15,5259.5,4102.41
Distributor,WARE-UHY1004,2018-09-13,2018-10-02,2018-10-08,Northeast,"Fenwal, Corp",Michigan,Bean Bags,1,0.4,6512.4,5144.796
In-Store,WARE-NMK1003,2018-09-13,2018-09-19,2018-09-25,Midwest,Victory Ltd,Kansas,Wall Coverings,3,0.075,1701.8,1021.08
Online,WARE-XYS1001,2018-09-13,2018-10-11,2018-10-15,Northeast,Ohio ,California,Cookware,5,0.1,3832.4,2682.68
Distributor,WARE-MKL1006,2018-09-13,2018-09-17,2018-09-20,South,Ascend Ltd,Texas,Computers,7,0.15,1775.5,923.26
Online,WARE-XYS1001,2018-09-13,2018-10-11,2018-10-13,West,"Apotheca, Ltd",Arizona,Accessories,2,0.15,1922.9,865.305
Wholesale,WARE-PUJ1005,2018-09-13,2018-10-10,2018-10-19,South,E. Ltd,Oregon,Bathroom Furniture,3,0.05,891.1,490.105
In-Store,WARE-PUJ1005,2018-09-14,2018-09-20,2018-09-28,Northeast,"Elorac, Corp",New York,Festive,7,0.075,3289.7,1875.129
Distributor,WARE-NMK1003,2018-09-14,2018-09-24,2018-10-03,Midwest,WakeFern ,Colorado,Bedroom Furniture,1,0.05,1078.7,593.285
Wholesale,WARE-MKL1006,2018-09-14,2018-10-03,2018-10-05,South,Qualitest ,Utah,Bathroom Furniture,2,0.05,3886,2720.2
Online,WARE-NMK1003,2018-09-14,2018-10-10,2018-10-18,Midwest,Ohio ,Illinois,Outdoor Furniture,4,0.05,1681.7,1143.556
Wholesale,WARE-PUJ1005,2018-09-14,2018-10-06,2018-10-13,West,Qualitest ,New York,Accessories,2,0.075,1065.3,852.24
Distributor,WARE-NMK1003,2018-09-14,2018-10-09,2018-10-19,Midwest,OHTA'S Corp,Hawaii,Wall Coverings,7,0.2,3912.8,3286.752
Online,WARE-NBV1002,2018-09-14,2018-09-17,2018-09-21,South,Ei ,California,Wall Coverings,2,0.3,3819,2520.54
Online,WARE-UHY1004,2018-09-14,2018-09-27,2018-09-29,South,Capweld ,Missouri,Sculptures,5,0.075,1025.1,758.574
Distributor,WARE-NMK1003,2018-09-14,2018-10-04,2018-10-06,Northeast,Medsep Group,Louisiana,Festive,6,0.15,3202.6,1601.3
In-Store,WARE-NMK1003,2018-09-14,2018-10-01,2018-10-06,South,Bare ,Illinois,Wine Storage,1,0.1,5306.4,2440.944
In-Store,WARE-UHY1004,2018-09-14,2018-09-26,2018-10-01,Midwest,Linde ,Nebraska,Ornaments,5,0.075,1849.2,1331.424
Online,WARE-PUJ1005,2018-09-14,2018-09-21,2018-09-30,West,"Elorac, Corp",Ohio,Stemware,3,0.1,194.3,137.953
In-Store,WARE-XYS1001,2018-09-14,2018-09-20,2018-09-29,Midwest,Weimei Corp,California,Bedroom Furniture,8,0.05,1051.9,757.368
Online,WARE-XYS1001,2018-09-14,2018-09-23,2018-09-24,South,O.E. Ltd,California,Pendants,7,0.1,1809,1537.65
In-Store,WARE-XYS1001,2018-09-15,2018-10-04,2018-10-09,Northeast,Ole Group,California,Basketball,2,0.15,214.4,130.784
In-Store,WARE-XYS1001,2018-09-15,2018-09-17,2018-09-21,Northeast,Select ,California,Bar Tools,6,0.075,3530.9,2577.557
In-Store,WARE-NMK1003,2018-09-15,2018-09-21,2018-09-28,South,Winthrop ,Louisiana,Blankets,6,0.4,1038.5,810.03
Online,WARE-MKL1006,2018-09-15,2018-10-01,2018-10-09,South,Sundial ,Virginia,Baseball,2,0.075,3470.6,1561.77
Distributor,WARE-NBV1002,2018-09-15,2018-09-19,2018-09-27,Midwest,Linde ,California,TV and video,1,0.15,2659.9,2154.519
Online,WARE-NMK1003,2018-09-15,2018-10-12,2018-10-21,Northeast,Burt's Corp,Florida,Basketball,8,0.05,1118.9,637.773
In-Store,WARE-PUJ1005,2018-09-15,2018-10-02,2018-10-07,Northeast,U.S. Ltd,Texas,Dinnerware,4,0.4,3892.7,2257.766
In-Store,WARE-NMK1003,2018-09-15,2018-10-04,2018-10-11,Midwest,Niconovum Corp,Illinois,Bathroom Furniture,3,0.075,2003.3,921.518
Online,WARE-NBV1002,2018-09-15,2018-09-23,2018-09-28,Midwest,Mylan Corp,California,Bean Bags,4,0.05,998.3,788.657
In-Store,WARE-PUJ1005,2018-09-16,2018-10-05,2018-10-13,Midwest,Nipro ,Texas,Furniture Cushions,3,0.05,2546,1654.9
Online,WARE-XYS1001,2018-09-16,2018-09-18,2018-09-23,Midwest,"Apotheca, Ltd",California,Candles,5,0.075,2552.7,2093.214
In-Store,WARE-XYS1001,2018-09-16,2018-09-24,2018-09-28,Northeast,Capweld ,California,Stemware,8,0.05,3839.1,2610.588
Distributor,WARE-MKL1006,2018-09-16,2018-09-25,2018-09-26,Midwest,Weimei Corp,Virginia,Bakeware,4,0.05,6076.9,4071.523
Distributor,WARE-PUJ1005,2018-09-16,2018-10-11,2018-10-19,West,AuroMedics Corp,Texas,Dining Furniture,7,0.2,1051.9,462.836
Distributor,WARE-PUJ1005,2018-09-16,2018-10-13,2018-10-15,Midwest,Nipro ,Tennessee,Collectibles,8,0.075,1132.3,577.473
In-Store,WARE-MKL1006,2018-09-17,2018-09-25,2018-09-26,Northeast,Medsep Group,Wisconsin,TV and video,8,0.05,2961.4,1184.56
In-Store,WARE-NMK1003,2018-09-17,2018-09-30,2018-10-06,Northeast,Victory Ltd,California,Candles,4,0.05,3396.9,2140.047
In-Store,WARE-UHY1004,2018-09-17,2018-09-21,2018-10-01,South,OUR Ltd,New Jersey,Bathroom Furniture,7,0.2,5728.5,3322.53
Distributor,WARE-UHY1004,2018-09-17,2018-10-10,2018-10-12,Midwest,U.S. Ltd,North Carolina,Vanities,6,0.05,2224.4,1401.372
Online,WARE-MKL1006,2018-09-17,2018-09-21,2018-09-29,West,Llorens Ltd,Washington,Floor Lamps,3,0.075,3986.5,1674.33
Wholesale,WARE-NMK1003,2018-09-17,2018-09-25,2018-10-01,South,Victory Ltd,Illinois,Serveware,8,0.1,5681.6,2613.536
Distributor,WARE-XYS1001,2018-09-18,2018-10-01,2018-10-08,Midwest,Victory Ltd,California,Bar Tools,2,0.075,5272.9,3005.553
Distributor,WARE-PUJ1005,2018-09-18,2018-10-08,2018-10-17,Midwest,Burt's Corp,Texas,Home Fragrances,8,0.2,1125.6,529.032
Online,WARE-NBV1002,2018-09-18,2018-10-10,2018-10-16,Midwest,AuroMedics Corp,California,Sculptures,7,0.05,690.1,400.258
In-Store,WARE-NMK1003,2018-09-18,2018-09-30,2018-10-06,South,"Apotheca, Ltd",Colorado,Accessories,3,0.05,2546,1502.14
In-Store,WARE-UHY1004,2018-09-18,2018-09-25,2018-10-04,Northeast,Ei ,Missouri,Festive,5,0.1,3035.1,2276.325
Online,WARE-NMK1003,2018-09-18,2018-09-29,2018-10-09,West,"3LAB, Ltd",Florida,Candleholders,2,0.05,4006.6,2444.026
In-Store,WARE-NMK1003,2018-09-19,2018-09-22,2018-10-01,West,Burt's Corp,Kansas,Pendants,6,0.1,3892.7,2179.912
In-Store,WARE-MKL1006,2018-09-19,2018-10-05,2018-10-11,Northeast,Nipro ,Texas,Wall Coverings,8,0.1,2566.1,1334.372
In-Store,WARE-NMK1003,2018-09-19,2018-10-06,2018-10-07,Northeast,Winthrop ,Louisiana,Accessories,8,0.075,1333.3,786.647
In-Store,WARE-MKL1006,2018-09-19,2018-09-21,2018-09-25,West,Pacific Ltd,Virginia,Dinnerware,5,0.05,1051.9,452.317
Wholesale,WARE-PUJ1005,2018-09-19,2018-09-29,2018-10-09,Northeast,Bare ,Ohio,Collectibles,3,0.05,3946.3,3314.892
Distributor,WARE-NMK1003,2018-09-19,2018-10-04,2018-10-08,Midwest,Mylan Corp,Iowa,Audio,8,0.05,1118.9,593.017
Online,WARE-PUJ1005,2018-09-19,2018-10-07,2018-10-12,South,Sundial ,Ohio,Basketball,8,0.075,2881,1325.26
In-Store,WARE-UHY1004,2018-09-20,2018-09-26,2018-09-29,West,E. Ltd,Maryland,Home Fragrances,7,0.05,2224.4,1890.74
Online,WARE-NMK1003,2018-09-20,2018-09-22,2018-10-02,South,Victory Ltd,Illinois,Baseball,1,0.075,1011.7,586.786
Distributor,WARE-XYS1001,2018-09-20,2018-10-09,2018-10-12,Midwest,"3LAB, Ltd",California,Cookware,2,0.2,167.5,123.95
In-Store,WARE-XYS1001,2018-09-20,2018-10-04,2018-10-14,Midwest,ETUDE Ltd,Arizona,Vases,7,0.05,1139,740.35
Distributor,WARE-NMK1003,2018-09-20,2018-10-09,2018-10-14,Midwest,Winthrop ,Florida,Baseball,8,0.05,167.5,110.55
In-Store,WARE-NMK1003,2018-09-20,2018-10-14,2018-10-16,Northeast,"Apotheca, Ltd",Illinois,Basketball,1,0.05,864.3,553.152
In-Store,WARE-NMK1003,2018-09-20,2018-10-05,2018-10-10,Northeast,Winthrop ,Florida,Photo Frames,1,0.05,2914.5,2477.325
Distributor,WARE-UHY1004,2018-09-21,2018-10-15,2018-10-24,Midwest,Weimei Corp,North Carolina,Sculptures,3,0.05,5293,2858.22
In-Store,WARE-NBV1002,2018-09-21,2018-09-29,2018-10-03,Northeast,Victory Ltd,California,Outdoor Furniture,6,0.2,924.6,406.824
In-Store,WARE-NMK1003,2018-09-21,2018-09-30,2018-10-09,Northeast,Niconovum Corp,Illinois,Cookware,4,0.1,884.4,619.08
Online,WARE-XYS1001,2018-09-21,2018-09-25,2018-10-03,South,"Elorac, Corp",California,Ornaments,7,0.4,2458.9,1819.586
In-Store,WARE-MKL1006,2018-09-21,2018-10-14,2018-10-15,West,Llorens Ltd,Washington,Basketball,8,0.05,924.6,656.466
In-Store,WARE-NMK1003,2018-09-21,2018-10-03,2018-10-12,West,Medline ,Colorado,Floral,8,0.05,6344.9,3235.899
Online,WARE-XYS1001,2018-09-21,2018-10-09,2018-10-12,South,Linde ,California,Pillows,2,0.4,3932.9,2910.346
Distributor,WARE-PUJ1005,2018-09-22,2018-10-16,2018-10-26,Midwest,"Elorac, Corp",Rhode Island,Rugs,5,0.075,1112.2,500.49
Distributor,WARE-UHY1004,2018-09-22,2018-10-01,2018-10-03,Midwest,U.S. Ltd,New York,Wall Coverings,7,0.15,904.5,370.845
Online,WARE-NMK1003,2018-09-22,2018-10-06,2018-10-07,Midwest,Sundial ,Colorado,Phones,2,0.075,1165.8,524.61
In-Store,WARE-PUJ1005,2018-09-22,2018-09-30,2018-10-05,Northeast,Linde ,Oregon,Bathroom Furniture,7,0.15,174.2,116.714
In-Store,WARE-PUJ1005,2018-09-22,2018-10-13,2018-10-22,South,Wuxi Group,Texas,Wardrobes,6,0.075,2378.5,1379.53
In-Store,WARE-MKL1006,2018-09-22,2018-09-28,2018-10-02,Northeast,Eminence Corp,Washington,Pendants,4,0.1,1025.1,850.833
In-Store,WARE-NMK1003,2018-09-22,2018-10-16,2018-10-21,Midwest,Apollo Ltd,Colorado,Furniture Cushions,6,0.075,3839.1,2034.723
Online,WARE-NMK1003,2018-09-22,2018-10-15,2018-10-25,West,Apollo Ltd,Illinois,Bedroom Furniture,8,0.15,1031.8,650.034
Wholesale,WARE-MKL1006,2018-09-22,2018-10-09,2018-10-11,Northeast,New Ltd,Texas,Stemware,6,0.05,1005,623.1
Distributor,WARE-MKL1006,2018-09-23,2018-10-05,2018-10-13,South,Uriel Group,Texas,Bathroom Furniture,6,0.05,3886,2215.02
In-Store,WARE-NMK1003,2018-09-23,2018-10-08,2018-10-13,West,S.S.S. Group,Indiana,Festive,6,0.15,1125.6,574.056
In-Store,WARE-PUJ1005,2018-09-23,2018-10-02,2018-10-07,Northeast,"Exact-Rx, Corp",Texas,Accessories,2,0.1,3899.4,1832.718
Online,WARE-UHY1004,2018-09-23,2018-09-26,2018-09-27,Midwest,Procter Corp,Maryland,Cocktail Glasses,5,0.05,1842.5,976.525
Online,WARE-NMK1003,2018-09-23,2018-10-06,2018-10-07,Northeast,Apollo Ltd,Illinois,Wreaths,2,0.05,201,86.43
Online,WARE-PUJ1005,2018-09-23,2018-10-17,2018-10-22,West,OHTA'S Corp,Tennessee,Home Fragrances,7,0.05,1768.8,707.52
In-Store,WARE-PUJ1005,2018-09-23,2018-09-29,2018-10-04,West,Burt's Corp,New York,Blankets,1,0.4,5996.5,3777.795
Online,WARE-MKL1006,2018-09-23,2018-10-12,2018-10-17,West,Rochester Ltd,Texas,Pendants,1,0.075,2525.9,1667.094
Distributor,WARE-XYS1001,2018-09-23,2018-10-13,2018-10-14,Midwest,Llorens Ltd,California,Candles,1,0.05,1005,562.8
Online,WARE-PUJ1005,2018-09-23,2018-09-25,2018-10-04,Midwest,"3LAB, Ltd",Oklahoma,Bakeware,5,0.3,944.7,377.88
Online,WARE-UHY1004,2018-09-23,2018-10-01,2018-10-03,Midwest,Bare ,New Jersey,Vases,7,0.3,1681.7,924.935
Online,WARE-MKL1006,2018-09-24,2018-10-02,2018-10-07,Midwest,Pacific Ltd,Texas,Blankets,2,0.2,180.9,151.956
Online,WARE-PUJ1005,2018-09-24,2018-10-09,2018-10-13,South,Select ,Tennessee,Cookware,4,0.05,1896.1,1592.724
In-Store,WARE-PUJ1005,2018-09-24,2018-10-06,2018-10-11,Midwest,Weimei Corp,Oklahoma,Mirrors,8,0.075,804,410.04
In-Store,WARE-PUJ1005,2018-09-24,2018-09-30,2018-10-09,Midwest,Uriel Group,Oklahoma,Wall Coverings,5,0.1,1112.2,778.54
Online,WARE-NMK1003,2018-09-24,2018-10-14,2018-10-23,Midwest,Eminence Corp,Illinois,Wine Storage,7,0.1,971.5,437.175
Online,WARE-PUJ1005,2018-09-24,2018-10-20,2018-10-25,Northeast,S.S.S. Group,New York,Table Lamps,2,0.05,2465.6,1380.736
In-Store,WARE-UHY1004,2018-09-24,2018-09-26,2018-10-05,Northeast,OUR Ltd,Massachusetts,Audio,6,0.05,2659.9,1915.128
Wholesale,WARE-NBV1002,2018-09-25,2018-10-11,2018-10-13,Northeast,S.S.S. Group,California,Ornaments,7,0.2,1675,1155.75
Online,WARE-NMK1003,2018-09-25,2018-09-27,2018-10-03,Midwest,"Elorac, Corp",Florida,Wardrobes,5,0.05,6150.6,3505.842
Online,WARE-NMK1003,2018-09-25,2018-09-27,2018-10-04,West,"Exact-Rx, Corp",Illinois,Festive,5,0.05,5306.4,2387.88
Distributor,WARE-PUJ1005,2018-09-25,2018-10-02,2018-10-09,Midwest,"Elorac, Corp",Texas,Table Lamps,6,0.15,3758.7,3082.134
Online,WARE-PUJ1005,2018-09-25,2018-10-05,2018-10-10,Midwest,Medsep Group,Texas,Accessories,7,0.075,2291.4,1603.98
In-Store,WARE-NMK1003,2018-09-25,2018-10-20,2018-10-28,South,"3LAB, Ltd",Georgia,Pillows,7,0.075,5748.6,3564.132
Online,WARE-MKL1006,2018-09-25,2018-10-09,2018-10-13,West,Capweld ,Virginia,Table Lamps,8,0.1,1909.5,1336.65
Online,WARE-NMK1003,2018-09-25,2018-10-05,2018-10-10,West,Capweld ,Indiana,Ornaments,7,0.05,3892.7,3308.795
Online,WARE-MKL1006,2018-09-25,2018-10-12,2018-10-18,Midwest,"Exact-Rx, Corp",Washington,Ornaments,6,0.075,1118.9,749.663
Online,WARE-NMK1003,2018-09-25,2018-10-21,2018-10-30,West,"Elorac, Corp",Illinois,Dining Furniture,1,0.075,3999.9,2559.936
In-Store,WARE-PUJ1005,2018-09-26,2018-10-06,2018-10-13,West,Nipro ,Oklahoma,Floor Lamps,2,0.075,1782.2,873.278
Distributor,WARE-NMK1003,2018-09-26,2018-10-22,2018-10-31,Midwest,Medline ,Florida,Audio,4,0.05,1072,707.52
In-Store,WARE-XYS1001,2018-09-26,2018-10-12,2018-10-19,West,"Elorac, Corp",California,Photo Frames,4,0.4,917.9,559.919
Distributor,WARE-PUJ1005,2018-09-26,2018-10-21,2018-10-31,Midwest,Select ,Texas,Bedroom Furniture,2,0.075,5252.8,2836.512
Distributor,WARE-UHY1004,2018-09-26,2018-10-04,2018-10-07,Northeast,WakeFern ,Michigan,Pillows,4,0.075,6505.7,5399.731
In-Store,WARE-PUJ1005,2018-09-26,2018-09-29,2018-09-30,Northeast,New Ltd,Texas,Floral,6,0.1,3390.2,1932.414
In-Store,WARE-PUJ1005,2018-09-26,2018-10-18,2018-10-24,Northeast,OUR Ltd,South Carolina,Bedroom Furniture,5,0.075,221.1,108.339
Online,WARE-PUJ1005,2018-09-26,2018-10-24,2018-11-03,Midwest,Linde ,Ohio,Wardrobes,2,0.05,3993.2,3034.832
In-Store,WARE-MKL1006,2018-09-26,2018-10-01,2018-10-06,Midwest,"Exact-Rx, Corp",Texas,Wall Frames,8,0.4,2519.2,1612.288
In-Store,WARE-XYS1001,2018-09-27,2018-10-07,2018-10-15,Midwest,Apollo Ltd,California,Floral,5,0.05,3953,2964.75
In-Store,WARE-PUJ1005,2018-09-27,2018-10-09,2018-10-18,Midwest,Medline ,Tennessee,Platters,3,0.2,1092.1,840.917
Online,WARE-NBV1002,2018-09-27,2018-10-05,2018-10-10,West,Mylan Corp,California,Clocks,7,0.3,5835.7,4726.917
In-Store,WARE-NMK1003,2018-09-27,2018-10-19,2018-10-21,Midwest,Uriel Group,Colorado,Furniture Cushions,5,0.05,1701.8,1276.35
Wholesale,WARE-XYS1001,2018-09-27,2018-10-07,2018-10-10,South,Uriel Group,California,Home Fragrances,6,0.15,6117.1,4343.141
In-Store,WARE-MKL1006,2018-09-27,2018-10-21,2018-10-29,Northeast,"PEDIFIX, Corp",Texas,Stemware,2,0.075,1829.1,1188.915
In-Store,WARE-MKL1006,2018-09-27,2018-09-30,2018-10-06,Northeast,"Fenwal, Corp",Washington,Baseball,5,0.075,3932.9,2477.727
Online,WARE-NMK1003,2018-09-27,2018-10-01,2018-10-09,Midwest,Pacific Ltd,Colorado,Outdoor Furniture,2,0.05,1695.1,1101.815
Online,WARE-NMK1003,2018-09-27,2018-10-23,2018-10-28,Midwest,Eminence Corp,Kentucky,Clocks,4,0.2,180.9,130.248
In-Store,WARE-NMK1003,2018-09-28,2018-10-05,2018-10-15,Midwest,WakeFern ,Florida,Table Lamps,1,0.15,877.7,631.944
In-Store,WARE-NBV1002,2018-09-28,2018-10-21,2018-10-27,Midwest,Nipro ,California,Outdoor Decor,7,0.15,2646.5,1984.875
In-Store,WARE-NBV1002,2018-09-28,2018-10-17,2018-10-23,Midwest,Prasco Group,California,Audio,4,0.05,5132.2,2206.846
Online,WARE-XYS1001,2018-09-28,2018-10-23,2018-11-02,South,Ohio ,California,Furniture Cushions,8,0.4,5112.1,3271.744
In-Store,WARE-UHY1004,2018-09-28,2018-10-04,2018-10-11,Midwest,Niconovum Corp,Missouri,Candleholders,7,0.05,1065.3,521.997
Online,WARE-UHY1004,2018-09-28,2018-10-08,2018-10-13,South,Ole Group,Michigan,Photo Frames,6,0.15,3269.6,2059.848
In-Store,WARE-PUJ1005,2018-09-28,2018-10-02,2018-10-09,Midwest,Dharma Ltd,Texas,Table Linens,6,0.075,6070.2,3277.908
Online,WARE-XYS1001,2018-09-28,2018-10-18,2018-10-23,South,"Elorac, Corp",California,Sculptures,7,0.2,1279.7,857.399
In-Store,WARE-NBV1002,2018-09-28,2018-10-07,2018-10-08,South,Weimei Corp,California,Basketball,1,0.05,3061.9,2449.52
In-Store,WARE-UHY1004,2018-09-28,2018-10-02,2018-10-10,Northeast,Burt's Corp,North Carolina,Outdoor Furniture,2,0.05,2646.5,1217.39
Distributor,WARE-NMK1003,2018-09-29,2018-10-27,2018-10-31,Midwest,Dharma Ltd,Illinois,Rugs,6,0.075,5232.7,3767.544
Online,WARE-NMK1003,2018-09-29,2018-10-15,2018-10-19,West,Qualitest ,Connecticut,Dinnerware,6,0.15,3986.5,3268.93
Online,WARE-PUJ1005,2018-09-29,2018-10-03,2018-10-08,West,Medsep Group,Tennessee,Floor Lamps,4,0.1,247.9,178.488
Distributor,WARE-NMK1003,2018-09-29,2018-10-01,2018-10-10,Northeast,AuroMedics Corp,District of Columbia,Accessories,6,0.15,221.1,141.504
Distributor,WARE-MKL1006,2018-09-29,2018-10-06,2018-10-14,Midwest,Medline ,Washington,Home Fragrances,3,0.1,1118.9,492.316
In-Store,WARE-NMK1003,2018-09-29,2018-10-10,2018-10-20,South,Apollo Ltd,Hawaii,Dinnerware,1,0.05,5433.7,2825.524
In-Store,WARE-PUJ1005,2018-09-29,2018-10-27,2018-10-28,Midwest,Pure Group,Oregon,Serveware,5,0.075,3028.4,1756.472
Online,WARE-PUJ1005,2018-09-29,2018-10-04,2018-10-14,Midwest,Capweld ,Rhode Island,Cocktail Glasses,1,0.15,3892.7,2296.693
In-Store,WARE-UHY1004,2018-09-29,2018-10-09,2018-10-11,Midwest,Ascend Ltd,Missouri,Floor Lamps,3,0.15,2579.5,2089.395
Wholesale,WARE-NMK1003,2018-09-29,2018-10-03,2018-10-09,Northeast,"PEDIFIX, Corp",Florida,Table Lamps,6,0.05,1809,1230.12
Online,WARE-UHY1004,2018-09-30,2018-10-03,2018-10-05,West,Capweld ,Michigan,Audio,4,0.075,5118.8,2457.024
Online,WARE-UHY1004,2018-09-30,2018-10-03,2018-10-09,Midwest,Llorens Ltd,New Jersey,Pendants,2,0.1,978.2,753.214
In-Store,WARE-UHY1004,2018-09-30,2018-10-04,2018-10-06,South,"Apotheca, Ltd",Michigan,Ornaments,3,0.05,770.5,554.76
In-Store,WARE-XYS1001,2018-09-30,2018-10-16,2018-10-20,Midwest,Victory Ltd,California,Collectibles,8,0.075,1085.4,759.78
In-Store,WARE-PUJ1005,2018-09-30,2018-10-20,2018-10-26,West,Rochester Ltd,Texas,Clocks,5,0.05,1989.9,795.96
In-Store,WARE-XYS1001,2018-09-30,2018-10-17,2018-10-19,West,ETUDE Ltd,California,Cookware,4,0.05,2907.8,2180.85
Wholesale,WARE-XYS1001,2018-09-30,2018-10-09,2018-10-13,West,OHTA'S Corp,California,Blankets,8,0.075,1165.8,886.008
Online,WARE-NMK1003,2018-09-30,2018-10-19,2018-10-28,Midwest,Mylan Corp,Florida,Clocks,4,0.075,5715.1,4343.476
Online,WARE-NMK1003,2018-09-30,2018-10-22,2018-10-31,Midwest,Amylin Group,Illinois,Wardrobes,7,0.1,1695.1,1254.374
Distributor,WARE-NMK1003,2018-10-01,2018-10-10,2018-10-19,Midwest,Eminence Corp,Illinois,Home Fragrances,1,0.2,1038.5,643.87
In-Store,WARE-PUJ1005,2018-10-01,2018-10-07,2018-10-15,Northeast,OHTA'S Corp,Texas,Accessories,7,0.05,5788.8,2778.624
Online,WARE-XYS1001,2018-10-01,2018-10-21,2018-10-23,Midwest,Ei ,California,Bean Bags,2,0.15,2237.8,1118.9
Wholesale,WARE-MKL1006,2018-10-01,2018-10-26,2018-10-30,South,U.S. Ltd,Texas,Clocks,7,0.15,1132.3,871.871
In-Store,WARE-NMK1003,2018-10-01,2018-10-15,2018-10-17,West,Qualitest ,California,Dining Furniture,4,0.05,891.1,552.482
Online,WARE-XYS1001,2018-10-01,2018-10-15,2018-10-25,West,Weimei Corp,California,Baseball,4,0.05,3819,3055.2
Distributor,WARE-PUJ1005,2018-10-02,2018-10-10,2018-10-19,Midwest,Ei ,Oklahoma,Baseball,6,0.15,1232.8,702.696
Online,WARE-XYS1001,2018-10-02,2018-10-05,2018-10-11,Midwest,Prasco Group,Arizona,Pillows,3,0.075,6331.5,2532.6
Online,WARE-XYS1001,2018-10-02,2018-10-15,2018-10-17,West,WakeFern ,California,Pillows,6,0.1,917.9,431.413
Online,WARE-UHY1004,2018-10-02,2018-10-28,2018-11-06,Midwest,Ascend Ltd,New Jersey,Wardrobes,4,0.05,1333.3,639.984
Online,WARE-NMK1003,2018-10-02,2018-10-18,2018-10-23,Midwest,"Exact-Rx, Corp",Colorado,Wall Frames,4,0.15,5467.2,3444.336
Online,WARE-PUJ1005,2018-10-02,2018-10-17,2018-10-18,Midwest,Rochester Ltd,Texas,Bedroom Furniture,3,0.1,5896,3950.32
In-Store,WARE-NBV1002,2018-10-02,2018-10-08,2018-10-12,South,Capweld ,California,TV and video,1,0.2,1809,1212.03
Online,WARE-NBV1002,2018-10-02,2018-10-25,2018-10-31,Midwest,Mylan Corp,California,Furniture Cushions,4,0.075,1112.2,722.93
Distributor,WARE-NMK1003,2018-10-03,2018-10-24,2018-10-27,South,Avon Corp,Indiana,Serveware,4,0.05,2546,1782.2
In-Store,WARE-UHY1004,2018-10-03,2018-10-26,2018-11-01,West,OUR Ltd,Montana,Wreaths,8,0.05,1139,774.52
In-Store,WARE-UHY1004,2018-10-03,2018-10-19,2018-10-23,West,Bare ,Missouri,Candles,2,0.05,3872.6,2362.286
Online,WARE-XYS1001,2018-10-03,2018-10-22,2018-10-29,South,Procter Corp,California,Bean Bags,8,0.15,1326.6,809.226
Distributor,WARE-MKL1006,2018-10-03,2018-10-20,2018-10-22,Midwest,Select ,Utah,Table Lamps,4,0.1,2525.9,1793.389
Online,WARE-NMK1003,2018-10-03,2018-10-13,2018-10-18,South,"Elorac, Corp",Georgia,Cookware,4,0.15,924.6,564.006
Distributor,WARE-NMK1003,2018-10-03,2018-10-14,2018-10-18,Midwest,Bare ,Florida,Ornaments,5,0.05,261.3,146.328
Online,WARE-XYS1001,2018-10-04,2018-10-29,2018-11-06,Midwest,Sundial ,Arizona,Cocktail Glasses,6,0.1,234.5,161.805
Distributor,WARE-PUJ1005,2018-10-04,2018-10-12,2018-10-16,South,Amylin Group,Texas,Candles,8,0.05,5775.4,4273.796
Online,WARE-NMK1003,2018-10-04,2018-10-23,2018-10-25,West,Amylin Group,Indiana,Home Fragrances,6,0.05,3852.5,2812.325
Online,WARE-NMK1003,2018-10-04,2018-10-10,2018-10-13,South,Ei ,Idaho,Wall Coverings,4,0.05,1045.2,585.312
Wholesale,WARE-MKL1006,2018-10-04,2018-10-12,2018-10-13,Northeast,Ei ,Texas,Pendants,2,0.15,864.3,535.866
In-Store,WARE-NMK1003,2018-10-04,2018-10-13,2018-10-23,Midwest,Bare ,Colorado,Candles,5,0.05,2559.4,2124.302
In-Store,WARE-UHY1004,2018-10-05,2018-10-29,2018-11-03,Midwest,Amylin Group,Louisiana,Mirrors,6,0.1,1922.9,999.908
In-Store,WARE-XYS1001,2018-10-05,2018-10-25,2018-11-03,Northeast,Nipro ,California,Rugs,8,0.075,3979.8,2865.456
In-Store,WARE-PUJ1005,2018-10-05,2018-10-16,2018-10-18,Midwest,New Ltd,South Carolina,Accessories,6,0.1,917.9,706.783
In-Store,WARE-NMK1003,2018-10-05,2018-10-10,2018-10-18,West,Medsep Group,Illinois,Wall Frames,1,0.075,3671.6,1652.22
Online,WARE-NMK1003,2018-10-05,2018-10-17,2018-10-25,Midwest,Linde ,Louisiana,Table Linens,6,0.2,1018.4,651.776
